date,type,currency,referenceNumber,amount,note
2025/12/23,Sell,OMR,837,-204.67,"BUY 204.67 OMR SELL 70,000,000 IRR | via Rate: 342000 | Alireza khodadad"
2025/12/23,Pay,OMR,8067,92,"havala - Amount: 92 OMR transaction_id: 8067"
2025/12/23,Sell,OMR,838,-90.9,"BUY 90.9 OMR | SELL 31,000,000 IRR | via Rate: 341000 Alireza khodadad"
2025/12/23,Pay,OMR,5527,208,"havala Amount: 208 OMR transaction id: 5527"
2025/12/24,Sell,OMR,842,-8.82,"BUY 8.82 OMR SELL 3,000,000 IRR | via Rate: 340000 | Alireza khodadad"
2025/12/24,Pay,OMR,5709,9,"havala - Amount: 9 OMR transaction_id: 5709"
2025/12/24,Sell,OMR,845,-68.6,"BUY 68.6 OMR SELL 24,150,000 IRR | via Rate: 352000 | Alireza khodadad"
2025/12/25,Sell,OMR,846,-72.88,"BUY 72.88 OMR | SELL 25.000.000 IRR | via Rate: 343000 | Alireza khodadad"
2025/12/25,Pay,OMR,2506,73.5,"havala Amount: 73.5 OMR transaction id: 2506"
2025/12/26,Pay,OMR,2034,70,"havala Amount: 70 OMR transaction id: 2034"
2025/12/27,Sell,OMR,862,-2137.95,"BUY 2,137.95 OMR | SELL 763,250,000 IRR | via Rate: 357000 | Alireza khodadad"
2025/12/27,Sell,OMR,856,-68.57,"BUY 68.57 OMR | SELL 24,000,000 IRR | via Rate: 350000 | Alireza khodadad"
2025/12/27,Pay,OMR,6794,500,"havala - Amount: 500 OMR transaction id: 6794"
2025/12/27,Pay,OMR,8950,500,"havala Amount: 500 OMR transaction id: 8950"
2025/12/27,Pay,OMR,5248,500,"havala Amount: 500 OMR transaction id: 5248"
2025/12/27,Pay,OMR,3114,650,"havala - Amount: 650 OMR transaction_id: 3114"
2025/12/30,Sell,OMR,894,-106.89,"BUY 106.89 OMR SELL 37,840,000 IRR | via Rate: 354000 | Alireza khodadad"
2025/12/30,Pay,OMR,8264,110,"havala - Amount: 110 OMR transaction_id: 8264"
